Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
18/02/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-342495-UPI,00002130495319468,18/02/26,138.0,,105148.00
19/02/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-316881-UPI,00008390920989454,19/02/26,255.0,,104893.00
19/02/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-902784-UPI,00007694031618399,19/02/26,440.0,,104453.00
20/02/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-508930-UPI,00009586586831180,20/02/26,278.0,,104175.00
20/02/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-507746-UPI,00002473290184959,20/02/26,377.0,,103798.00
21/02/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-372793-UPI,00006756884415347,21/02/26,216.0,,103582.00
21/02/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-497542-UPI,00005438511823921,21/02/26,299.0,,103283.00
23/02/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-466960-UPI,00004505755387233,23/02/26,650.0,,102633.00
23/02/26,UPI-VI PREPAID RECHARGE-VI.RECHARGE@PTYBL-YESB0PTMUPI-596564-UPI,00003012919998385,23/02/26,400.0,,102233.00
24/02/26,UPI-AKASH SEHGAL-A.SEHGAL1300@OKHDFC-HDFC0000010-904150-UPI,00003952226925063,24/02/26,2128.0,,100105.00
24/02/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-271720-UPI,00006475931779276,24/02/26,3567.0,,96538.00
24/02/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-703766-UPI,00007605480054946,24/02/26,612.0,,95926.00
25/02/26,UPI-SANGITA DANGI-7727864502@YBL-AUBL0002423-824161-UPI,00002792044392593,25/02/26,320.0,,95606.00
25/02/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-729577-UPI,00003129468527791,25/02/26,3871.0,,91735.00
26/02/26,UPI-TATA POWER ELECTRICITY-ELECTRICITY.BILL@SBI-SBIN0000008-793655-UPI,00002212772367295,26/02/26,709.0,,91026.00
26/02/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-540463-UPI,00009623531247468,26/02/26,85.0,,90941.00
26/02/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-968962-UPI,00008658583780750,26/02/26,457.0,,90484.00
27/02/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-664315-UPI,00009507362305763,27/02/26,2887.0,,87597.00
28/02/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-357420-UPI,00005905224866340,28/02/26,215.0,,87382.00
28/02/26,UPI-VI PREPAID RECHARGE-VI.RECHARGE@PTYBL-YESB0PTMUPI-697530-UPI,00006915797713259,28/02/26,938.0,,86444.00
01/03/26,NEFT CR-UTIB0SF0001-BRIGHTWAVE TECH SOLUTIONS PVT LTD-SALARY-618317,00006720256285581,01/03/26,,77800.0,164244.00
01/03/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-456871-UPI,00005861388044045,01/03/26,415.0,,163829.00
02/03/26,UPI-SURESH KUMAR LANDLORD-SURESHK.RENT@OKSBI-SBIN0009999-682789-UPI,00004362736323263,02/03/26,14000.0,,149829.00
03/03/26,UPI-NETFLIX ENTERTAINMENT-NETFLIX.BILL@OKHDFC-HDFC0000007-353080-UPI,00008149918277685,03/03/26,499.0,,149330.00
03/03/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-777278-UPI,00009635941604803,03/03/26,3201.0,,146129.00
03/03/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-332360-UPI,00006386933976899,03/03/26,119.0,,146010.00
04/03/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-882169-UPI,00006817749619277,04/03/26,259.0,,145751.00
04/03/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-363615-UPI,00003122703997579,04/03/26,194.0,,145557.00
04/03/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-661894-UPI,00004258549440264,04/03/26,802.0,,144755.00
05/03/26,UPI-CULT FIT FITNESS-CULTFIT.PAY@YBL-YESB0PTMUPI-300845-UPI,00005863982596162,05/03/26,1200.0,,143555.00
05/03/26,UPI-KYBALION NEXUS-7907449178@OKAXIS-UTIB0000011-205409-UPI,00004418075111911,05/03/26,1831.0,,141724.00
05/03/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-114835-UPI,00005823791943084,05/03/26,215.0,,141509.00
05/03/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-831295-UPI,00003224552926053,05/03/26,413.0,,141096.00
06/03/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-592198-UPI,00008750177063850,06/03/26,424.0,,140672.00
06/03/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-600935-UPI,00008048321980643,06/03/26,186.0,,140486.00
07/03/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-950544-UPI,00002495953582622,07/03/26,200.0,,140286.00
07/03/26,UPI-PRAKASH DAS VAISHNAV-9950449735@PTYES-BKID0006682-536390-UPI,00007693803479115,07/03/26,1718.0,,138568.00
08/03/26,UPI-MANISH VISHNOI-9119161829@IBL-SBIN0005610-549660-UPI,00002059229246859,08/03/26,2594.0,,135974.00
08/03/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-317881-UPI,00004713538310346,08/03/26,4280.0,,131694.00
09/03/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-678805-UPI,00003753396437918,09/03/26,1307.0,,130387.00
11/03/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-342720-UPI,00008988036186063,11/03/26,202.0,,130185.00
11/03/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-926097-UPI,00008478387689394,11/03/26,610.0,,129575.00
13/03/26,UPI-ZOMATO ONLINE-ZOMATO.ORDER@PAYTM-PYTM0123456-966785-UPI,00002254741350632,13/03/26,601.0,,128974.00
13/03/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-964278-UPI,00008723590771261,13/03/26,435.0,,128539.00
13/03/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-385470-UPI,00008702997196045,13/03/26,491.0,,128048.00
15/03/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-733039-UPI,00001452046888046,15/03/26,509.0,,127539.00
15/03/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-804938-UPI,00005740876904871,15/03/26,650.0,,126889.00
15/03/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-783157-UPI,00004192355374329,15/03/26,2276.0,,124613.00
16/03/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-592841-UPI,00008182679800275,16/03/26,487.0,,124126.00
16/03/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-445824-UPI,00006070189432535,16/03/26,440.0,,123686.00
16/03/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-676818-UPI,00008997386718143,16/03/26,3717.0,,119969.00
18/03/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-523808-UPI,00008269068838141,18/03/26,634.0,,119335.00
18/03/26,UPI-APPLE SERVICES-APPLESERVICES.BDSI@HDFCBANK-HDFC0000009-335790-UPI,00006239783909667,18/03/26,112000.0,,7335.00
20/03/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-896907-UPI,00004577929428476,20/03/26,343.0,,6992.00
21/03/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-832168-UPI,00003136680567437,21/03/26,264.0,,6728.00
23/03/26,UPI-VI PREPAID RECHARGE-VI.RECHARGE@PTYBL-YESB0PTMUPI-114338-UPI,00008179262253366,23/03/26,476.0,,6252.00
23/03/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-223172-UPI,00009766689552078,23/03/26,365.0,,5887.00
23/03/26,UPI-MANISH VISHNOI-9119161829@IBL-SBIN0005610-386706-UPI,00005288405529931,23/03/26,1576.0,,4311.00
24/03/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-728492-UPI,00003404663395981,24/03/26,1101.0,,3210.00
24/03/26,UPI-TATA POWER ELECTRICITY-ELECTRICITY.BILL@SBI-SBIN0000008-995916-UPI,00006980376640166,24/03/26,961.0,,2249.00
25/03/26,UPI-SWIGGY-SWIGGY.PAYU@YBL-YESB0PTMUPI-413058-UPI,00009614243852433,25/03/26,270.0,,1979.00
25/03/26,UPI-APPLE SERVICES-APPLESERVICES.BDSI@HDFCBANK-HDFC0000009-461888-UPI,00009011734111895,25/03/26,716.0,,1263.00
25/03/26,UPI-SANGITA DANGI-7727864502@YBL-AUBL0002423-350405-UPI,00007736964572317,25/03/26,2944.0,,-1681.00
26/03/26,UPI-APPLE SERVICES-APPLESERVICES.BDSI@HDFCBANK-HDFC0000009-880879-UPI,00007791980670292,26/03/26,196.0,,-1877.00
27/03/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-718849-UPI,00008747455451376,27/03/26,133.0,,-2010.00
29/03/26,UPI-PRAKASH DAS VAISHNAV-9950449735@PTYES-BKID0006682-529893-UPI,00003718585263795,29/03/26,2195.0,,-4205.00
29/03/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-826353-UPI,00007685261002965,29/03/26,299.0,,-4504.00
29/03/26,UPI-AKASH SEHGAL-A.SEHGAL1300@OKHDFC-HDFC0000010-137642-UPI,00002205242811085,29/03/26,2630.0,,-7134.00
30/03/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-883041-UPI,00008632545061277,30/03/26,4489.0,,-11623.00
01/04/26,NEFT CR-UTIB0SF0001-BRIGHTWAVE TECH SOLUTIONS PVT LTD-SALARY-565230,00001807578179167,01/04/26,,77800.0,66177.00
01/04/26,UPI-TATA POWER ELECTRICITY-ELECTRICITY.BILL@SBI-SBIN0000008-551607-UPI,00005295592513504,01/04/26,526.0,,65651.00
02/04/26,UPI-SURESH KUMAR LANDLORD-SURESHK.RENT@OKSBI-SBIN0009999-656968-UPI,00003990070576468,02/04/26,14000.0,,51651.00
02/04/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-352528-UPI,00003519355476273,02/04/26,448.0,,51203.00
03/04/26,UPI-NETFLIX ENTERTAINMENT-NETFLIX.BILL@OKHDFC-HDFC0000007-343467-UPI,00009084219275445,03/04/26,499.0,,50704.00
03/04/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-810526-UPI,00003781191461650,03/04/26,4085.0,,46619.00
05/04/26,UPI-CULT FIT FITNESS-CULTFIT.PAY@YBL-YESB0PTMUPI-563187-UPI,00007081438479973,05/04/26,1200.0,,45419.00
05/04/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-579027-UPI,00006316505097882,05/04/26,486.0,,44933.00
05/04/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-211834-UPI,00007709757707088,05/04/26,572.0,,44361.00
05/04/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-409571-UPI,00005829243213437,05/04/26,4469.0,,39892.00
07/04/26,UPI-NETFLIX ENTERTAINMENT-NETFLIX.BILL@OKHDFC-HDFC0000007-881369-UPI,00005049290270938,07/04/26,1106.0,,38786.00
07/04/26,UPI-MYNTRA DESIGNS-MYNTRA.PAY@YBL-YESB0PTMUPI-299367-UPI,00005409303152958,07/04/26,1220.0,,37566.00
07/04/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-757937-UPI,00001694265746449,07/04/26,2939.0,,34627.00
08/04/26,UPI-NETFLIX ENTERTAINMENT-NETFLIX.BILL@OKHDFC-HDFC0000007-867934-UPI,00002585407341647,08/04/26,759.0,,33868.00
09/04/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-238579-UPI,00005519012308314,09/04/26,154.0,,33714.00
10/04/26,UPI-MANISH VISHNOI-9119161829@IBL-SBIN0005610-455168-UPI,00003026383748892,10/04/26,2265.0,,31449.00
10/04/26,UPI-UBER INDIA SYSTEMS-UBER.PAY@AXISBANK-UTIB0000001-336574-UPI,00007992120610467,10/04/26,139.0,,31310.00
11/04/26,UPI-RAPIDO BIKE TAXI-RAPIDO.PAY@YBL-YESB0PTMUPI-662636-UPI,00008997759914728,11/04/26,86.0,,31224.00
11/04/26,UPI-INDIAN OIL PETROL PUMP-FUEL.PAY@SBI-SBIN0000003-962367-UPI,00002904265979267,11/04/26,326.0,,30898.00
11/04/26,UPI-BIG BASKET-BIGBASKET.EBZ@HDFCBANK-HDFC0000006-688678-UPI,00004893860653278,11/04/26,405.0,,30493.00
13/04/26,UPI-MANISH VISHNOI-9119161829@IBL-SBIN0005610-222343-UPI,00001795169287472,13/04/26,1983.0,,28510.00
13/04/26,UPI-MANISH VISHNOI-9119161829@IBL-SBIN0005610-221761-UPI,00005127881007921,13/04/26,2988.0,,25522.00
14/04/26,UPI-BLUE TOKAI COFFEE ROASTERS-BLUETOKAI@OKHDFC-HDFC0001234-879238-UPI,00008372483989037,14/04/26,317.0,,25205.00
14/04/26,UPI-FLIPKART INTERNET-FLIPKART.PAY@ICICI-ICIC0000005-786735-UPI,00005921824307767,14/04/26,4019.0,,21186.00
14/04/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-566297-UPI,00005157315978592,14/04/26,235.0,,20951.00
15/04/26,UPI-CAFE COFFEE DAY-CCD.PAY@OKICICI-ICIC0000001-776149-UPI,00002066692381848,15/04/26,409.0,,20542.00
15/04/26,UPI-CLIENT PAYMENT-FREELANCEWORK@OKICICI-ICIC0000099-517479-UPI,00002612565732248,15/04/26,,10260.0,30802.00
16/04/26,UPI-AMAZON PAY INDIA-AMAZON.PAY@AXISBANK-UTIB0000004-449709-UPI,00004610197372591,16/04/26,512.0,,30290.00
